"2 Chainz And Drake-","No Lie (Clean)"
"2 Chainz feat.Chris Brown","Countdown"
"2 Chainz feat.Chris Brown","Countdown (MPX)"
"5a Estacion, La","Suenos Rotos"
"7th Heaven","Sing"
"7th Heaven","Sing (MPX)"
"30 Años","Napoleon"
"50 Cent","Outlaw"
"50 Cent","Outlaw (MPX)"
"A Day To Remember","It's Complicated"
"A Day To Remember","It's Complicated (MPX)"
"A-Ha","Take On Me"
"A$AP Rocky","Goldie"
"A$AP Rocky","Goldie (MPX)"
"Aaron Y Su Grupo Ilusion","Mi Estrella"
"Abracadabra","En Realidad"
"Abracadabra","En Realidad - Tono Bajo"
"AbraCadabra","Humedad"
"Abraira, Pablo","O Tu O Nada"
"Acosta","Caprichos De Mujer"
"Acosta","Deja Una Rosa En Tu Balcon"
"Acosta","En Cada Esquina De Mi Barrio"
"Acosta","Siempre Te Recordare"
"Acosta","Tonto Corazon"
"Acosta","Voy A Pintar Un Corazon"
"Acosta, Los","Sin Razon"
"Acosta, Los","Una Chica Esta Llorando"
"Acranes","Cuenta Pagada"
"Adele","I Can't Make You Love Me"
"Adele","I Can't Make You Love Me (MPX)"
"Adriana, Beatriz","Adios Y Bienvenida"
"Adriana, Beatriz","Adios Y Bienvenida (Con Segunda Voz)"
"Adriana, Beatriz","Anillo De Compromiso"
"Adriana, Beatriz","Arrepentida Y Sola"
"Adriana, Beatriz","Cruz De Olvido"
"Adriana, Beatriz","Dolor De Mi Dolor"
"Adriana, Beatriz","Dos Palomas Al Volar"
"Adriana, Beatriz","Dos Palomas Al Volar"
"Adriana, Beatriz","El Quiubole"
"Adriana, Beatriz","El Quiubole"
"Adriana, Beatriz","Esta Situacion (El Macho Panzon)"
"Adriana, Beatriz","Esta Situacion (El Macho Panzon)"
"Adriana, Beatriz","La Luna Sera La Luna"
"Adriana, Beatriz","La Reina Es El Rey"
"Adriana, Beatriz","Las Margaritas"
"Adriana, Beatriz","Que Vuelva"
"Adriana, Beatriz","Rosita Alvirez"
"Adriana, Beatriz","Tu Burla"
"Adrianna, Beatriz & Angelica Maria","La Basurita"
"Afrosound","Mar De Emociones"
"Aguilar, Antonio","Adolorido"
"Aguilar, Antonio","Albur De Amor"
"Aguilar, Antonio","Busca Otro Amor"
"Aguilar, Antonio","Copitas De Mezcal"
"Aguilar, Antonio","Cuatro Meses"
"Aguilar, Antonio","El Caballo Bayo"
"Aguilar, Antonio","El Chivo"
"Aguilar, Antonio","El Grando De Oro"
"Aguilar, Antonio","El Puente Roto"
"Aguilar, Antonio","El Siete Leguas"
"Aguilar, Antonio","Hace Un Ano"
"Aguilar, Antonio","La Chancla"
"Aguilar, Antonio","La Mancorndora"
"Aguilar, Antonio","Mi Lupita"
"Aguilar, Antonio","Que Chulos Ojos"
"Aguilar, Antonio","Tampico Hermoso"
"Aguilar, Antonio","Tres Dias"
"Aguilar, Antonio","Triste Recuerdo"
"Aguilar, Antonio","Ya Andale"
"Aguilar, Pepe","A Pierna Suelta"
"Aguilar, Pepe","Baraja De Oro"
"Aguilar, Pepe","Botellita De Tequila"
"Aguilar, Pepe","Cielo Rojo"
"Aguilar, Pepe","Cien Anos"
"Aguilar, Pepe","Corrido De Simon Blanco"
"Aguilar, Pepe","Cruz De Olvido"
"Aguilar, Pepe","De Que Te Quejas, Mujer"
